comment_id,email,video_id,content,cmt_date
28,orionhasang@gmail.com,6080000,"thank you for sharing this playlist, so relaxing... for the person who is reading this i wish you success , good health, love and happiness…",2023-05-15
29,chillvibesplaylist@gmail.com,7325836,"I love the guitar and the sounds of nature, the melody from which you can immerse yourself in an atmosphere of peace and quiet, to feel the soul, tired of the hustle and bustle of life!",2023-05-20
30,vtv24@gmail.com,7325836,Nada melhor que músicas que nos façam pensar na vida com mais carinho ,2023-05-15
31,babybus@gmail.com,7325836,My comment will probably get lost but whoever reads this.. you got this! whatever you are going through will get better hang in there,2023-05-21
32,jadedreammusic@gmail.com,7325836,"Morning is the best time and favorite time to start the day. Looking up how magnificent sky, the sun, the air, it is a beautiful moment. Grateful is a good thing. Thank you for beautiful music",2023-05-30
33,mellow_sounds@gmail.com,7325836,"This playlist is everything I need right now.. Thanks for putting this together, it's a lifesaver! ",2023-05-31
34,nheolofi@gmail.com,7325836,"so relaxing, hope we all will be happy and loved by the people around",2023-06-01
35,chillvibesplaylist@gmail.com,1490408,"Nhạc chill, thích hợp để học bài",2023-05-21
36,vtv24@gmail.com,1490408,"Đôi khi ta nghe đi nghe lại một bài hát, không hẳn vì nó quá hay. Mà vì ở trong đó, ta nghe thấy câu chuyện của chính mình..”",2023-05-30
37,babybus@gmail.com,1490408,Một khi có ai đó ghét mình thì mình có giải thích cũng vô nghĩa còn có những người nói thêm ra thêm vào nữa chán không cơ chứ . Tôi cũng sad lắm ngày cả người từng quý tôi cũng nghe theo họ rồi quyết định cắt đứt với họ nhưng lại do dự,2023-05-31
38,jadedreammusic@gmail.com,1490408,nhạc hay quá,2023-05-20
39,mellow_sounds@gmail.com,1490408,Thích nhất bài hát ở 10p đầu video,2023-05-15
40,orionhasang@gmail.com,1490408,nhạc chill quá,2023-05-21
41,mellow_sounds@gmail.com,7390308,Hay quá thật là tuyệt vời,2023-05-15
42,nheolofi@gmail.com,7390308,nghe không thấy chán,2023-05-21
43,orionhasang@gmail.com,7390308,Hay quá,2023-05-30
44,chillvibesplaylist@gmail.com,7390308,kính chúc quý ac hạnh phúc bình an,2023-05-31
45,vtv24@gmail.com,7390308,ngày mới  vui vẻ,2023-05-20
46,wbkids@gmail.com,976255,được thưởng thức những bài hát quá hay Thank you,2023-05-31
47,chillvibesplaylist@gmail.com,976255,Chúc mọi người 2023 bớt muộn phiền và có nhiều may mắn,2023-05-21
48,nheolofi@gmail.com,976255,Đang code nghe mấy bài này chill ghê lun ớ,2023-05-20
49,mellow_sounds@gmail.com,976255,ai vừa mới chia tay thì bật cái này nghe có tinh thần,2023-05-15
50,vtv24@gmail.com,976255,chilll qué,2023-05-30
51,babybus@gmail.com,4730117,sợ nhỉ,2023-05-15
52,nheolofi@gmail.com,4730117,ừ sợ quá cơ,2023-05-20
53,mellow_sounds@gmail.com,3330325,chúc bác mau bình phục,2023-05-31
54,orionhasang@gmail.com,3330325,giỏi quá,2023-05-15
55,chillvibesplaylist@gmail.com,5251717,lêu lêu,2023-05-21
56,jadedreammusic@gmail.com,5251717,dạo này không được sếp rủ đi uống rượu nữa buồn quá,2023-05-21
57,nheolofi@gmail.com,5251717,giá yên càng ngày càng thấp rồi á,2023-05-31
58,mellow_sounds@gmail.com,1927242,phản đối bạo lực học đường,2023-05-21
59,orionhasang@gmail.com,1927242,đồng ý!!!,2023-05-20
60,chillvibesplaylist@gmail.com,4899915,sắp ra trường rồi buồn quá,2023-05-31
61,babybus@gmail.com,9415187,đẹp quá,2023-06-02
62,wbkids@gmail.com,9415187,thế giới thật diệu kỳ!,2023-05-31
63,nheolofi@gmail.com,6448637,Nếu lương 100$/ngày thì em đi làm 5 ngày 1 tuần cũng được,2023-05-20
64,jadedreammusic@gmail.com,6448637,em lương 5tr/tháng. Để em gửi link cho sếp em,2023-05-15
65,chillvibesplaylist@gmail.com,4463293,IT vua của mọi nghề,2023-05-21
